159	- **反转长度 λ**（encapsulate 不规则性频谱的单一尺度）	- **反转长度 $\lambda$**（encapsulate 不规则性频谱的单一尺度）	R2 核素/希腊字母/单位
161	**[FACT]** 能量依赖性：能量 E 的粒子受 **Larmor 半径 λ_L 尺度** 的不规则性影响。问题取决于不规则性频谱在 ~λ_L 尺度上的功率。	**[FACT]** 能量依赖性：能量 E 的粒子受 **Larmor 半径 $\lambda$_L 尺度** 的不规则性影响。问题取决于不规则性频谱在 ~$\lambda$_L 尺度上的功率。	R2 核素/希腊字母/单位
164	- 平滑平均磁场 **⟨B⟩ ≈ 2 μG**（Phillipps et al 1981; Chi & Wolfendale 1990）	- 平滑平均磁场 **⟨B⟩ ≈ 2 $\mu$G**（Phillipps et al 1981; Chi & Wolfendale 1990）	R2 核素/希腊字母/单位
165	- 观测得到的反转长度 **λ ≈ 200 pc = 0.2 kpc**（Osborne et al 1973）	- 观测得到的反转长度 **$\lambda$ ≈ 200 pc = 0.2 kpc**（Osborne et al 1973）	R2 核素/希腊字母/单位
166	- 经验能量均分：⟨B⟩ ~ 3 μG ↔ 局部 CR 能量密度 ~ 0.5 eV cm⁻³；作者**假设这种相等处处成立**。	- 经验能量均分：⟨B⟩ ~ 3 $\mu$G ↔ 局部 CR 能量密度 ~ 0.5 eV cm⁻³；作者**假设这种相等处处成立**。	R2 核素/希腊字母/单位
169	- **z = 1 kpc 处 B ≈ 1 μG**，之后下降更快	- **z = 1 kpc 处 B ≈ 1 $\mu$G**，之后下降更快	R2 核素/希腊字母/单位
172	- 在 ~65 kpc 处密度 ρ ≈ 5 × $10^{-5}$ cm⁻³	- 在 ~65 kpc 处密度 $\rho$ ≈ 5 × $10^{-5}$ cm⁻³	R2 核素/希腊字母/单位
173	- 对应能量密度 ~ $10^{-2}$ eV cm⁻³ → 用均分论点得 **B ≈ 0.15 μG**	- 对应能量密度 ~ $10^{-2}$ eV cm⁻³ → 用均分论点得 **B ≈ 0.15 $\mu$G**	R2 核素/希腊字母/单位
175	**[FACT]** 反转长度 λ 的推导：	**[FACT]** 反转长度 $\lambda$ 的推导：	R2 核素/希腊字母/单位
176	- 理论（Berezhko et al 1996）：**λ ∝ B⁻²**（低能 CR-turbulence 耦合场景）	- 理论（Berezhko et al 1996）：**$\lambda$ ∝ B⁻²**（低能 CR-turbulence 耦合场景）	R2 核素/希腊字母/单位
177	- 几何（从平面升起的磁场泡扩张）：**λ ∝ B⁻¹/²**	- 几何（从平面升起的磁场泡扩张）：**$\lambda$ ∝ B⁻¹/²**	R2 核素/希腊字母/单位
178	- 折中：**λ ∝ B⁻¹**（对当前目的"足够准确"）	- 折中：**$\lambda$ ∝ B⁻¹**（对当前目的"足够准确"）	R2 核素/希腊字母/单位
181	- 其他作者（Stanev et al 1995; Hayashida et al 1996）主张 **λ ~ 1 Mpc**，作者认为**过大**。	- 其他作者（Stanev et al 1995; Hayashida et al 1996）主张 **$\lambda$ ~ 1 Mpc**，作者认为**过大**。	R2 核素/希腊字母/单位
185	1. 从银河 CR 发射率 + Tully (1988) 星系密度 → VIRGO 5 Mpc 内 CR 能量密度对应 **B ≈ $10^{-2}$ μG**	1. 从银河 CR 发射率 + Tully (1988) 星系密度 → VIRGO 5 Mpc 内 CR 能量密度对应 **B ≈ $10^{-2}$ $\mu$G**	R2 核素/希腊字母/单位
186	2. 近 VIRGO 处：从 COMA 团观测外推（Kim et al 1990, 1991），COMA 中心 **B ~ 2 μG**，其他团 **⟨B⟩ ~ 1 μG** 至 ~0.5 Mpc → VIRGO 中心 **B ~ 1 μG**（法拉第旋转测量）	2. 近 VIRGO 处：从 COMA 团观测外推（Kim et al 1990, 1991），COMA 中心 **B ~ 2 $\mu$G**，其他团 **⟨B⟩ ~ 1 $\mu$G** 至 ~0.5 Mpc → VIRGO 中心 **B ~ 1 $\mu$G**（法拉第旋转测量）	R2 核素/希腊字母/单位
189	**[FACT]** EG 空间的 λ 推导：	**[FACT]** EG 空间的 $\lambda$ 推导：	R2 核素/希腊字母/单位
190	- 从 COMA（比 VIRGO 富）+ "poor clusters and groups"（Kronberg 1994）→ **λ ≈ 3 kpc**（VIRGO 中心区域）	- 从 COMA（比 VIRGO 富）+ "poor clusters and groups"（Kronberg 1994）→ **$\lambda$ ≈ 3 kpc**（VIRGO 中心区域）	R2 核素/希腊字母/单位
191	- 有趣的一阶近似：**Bλ ≈ 3 μG kpc**（VIRGO 团）；"widespread all-pervading field" 得 1 μG kpc；银河局部 3 μG × 0.2 kpc = 0.6 μG kpc	- 有趣的一阶近似：**B$\lambda$ ≈ 3 $\mu$G kpc**（VIRGO 团）；"widespread all-pervading field" 得 1 $\mu$G kpc；银河局部 3 $\mu$G × 0.2 kpc = 0.6 $\mu$G kpc	R2 核素/希腊字母/单位
192	- 采用 **Bλ = const = 1 μG kpc**（银河与 VIRGO 之间的河外空间主体）	- 采用 **B$\lambda$ = const = 1 $\mu$G kpc**（银河与 VIRGO 之间的河外空间主体）	R2 核素/希腊字母/单位
193	- 几何论证（把 0.2 kpc 扩到银河"所属" EG 空间）→ 扩张 ~200× → **λ ≈ 40 kpc**，接近采用的 **100 kpc**	- 几何论证（把 0.2 kpc 扩到银河"所属" EG 空间）→ 扩张 ~200× → **$\lambda$ ≈ 40 kpc**，接近采用的 **100 kpc**	R2 核素/希腊字母/单位
195	**[FACT]** 图 2：**太阳到 VIRGO 团中心** 沿线的 B 与 λ 的估计分布图（$H_{0}$ = 75 km s⁻¹ Mpc⁻¹）。VIRGO 位置 ℓ, b ~ 283°, +75°。	**[FACT]** 图 2：**太阳到 VIRGO 团中心** 沿线的 B 与 $\lambda$ 的估计分布图（$H_{0}$ = 75 km s⁻¹ Mpc⁻¹）。VIRGO 位置 ℓ, b ~ 283°, +75°。	R2 核素/希腊字母/单位
197	**[INTERPRETATION]** 这一段体现了作者的"自洽性"追求：无论用哪套观测约束（Berezhko 等离子理论 vs 几何泡 vs COMA 外推 vs Kronberg 综述），都尝试统一为 Bλ ≈ const 的简单标度律。	**[INTERPRETATION]** 这一段体现了作者的"自洽性"追求：无论用哪套观测约束（Berezhko 等离子理论 vs 几何泡 vs COMA 外推 vs Kronberg 综述），都尝试统一为 B$\lambda$ ≈ const 的简单标度律。	R2 核素/希腊字母/单位
