36	3. **晕大小约束**：显式纳入放射性同位素（¹⁰Be）的 $L$ 约束	3. **晕大小约束**：显式纳入放射性同位素（$^{10}{\rm Be}$）的 $L$ 约束	R2 核素/希腊字母/单位
16	| namely | conj. | 解释 | 即 | "namely L, δ, K0, Rl, and ℓ" |	| namely | conj. | 解释 | 即 | "namely L, $\delta$, K0, Rl, and ℓ" |	R2 核素/希腊字母/单位
6	Weinrich et al. (2020) 用 AMS-02 最新数据 + ¹⁰Be 放射性同位素时钟约束银河系 CR 传播晕大小，得到 $L = 4.66^{+1.35}_{-0.97}$ kpc（SLIM 配置），是 Génolini 2021 min/med/max 模型的 $L$ 约束基础。	Weinrich et al. (2020) 用 AMS-02 最新数据 + $^{10}{\rm Be}$ 放射性同位素时钟约束银河系 CR 传播晕大小，得到 $L = 4.66^{+1.35}_{-0.97}$ kpc（SLIM 配置），是 Génolini 2021 min/med/max 模型的 $L$ 约束基础。	R2 核素/希腊字母/单位
14	¹⁰Be（$t_{1/2} = 1.387$ Myr）放射性同位素衰变作为"时钟"，直接测量 CR 在晕中的停留时间 $\tau \sim L^2/K_0$，从而同时约束 $K_0$ 和 $L$。	$^{10}{\rm Be}$（$t_{1/2} = 1.387$ Myr）放射性同位素衰变作为"时钟"，直接测量 CR 在晕中的停留时间 $\tau \sim L^2/K_0$，从而同时约束 $K_0$ 和 $L$。	R2 核素/希腊字母/单位
20	| SLIM 最佳 $L$ | $4.66^{+1.35}_{-0.97}$ kpc | 联合 AMS-02 + ¹⁰Be |	| SLIM 最佳 $L$ | $4.66^{+1.35}_{-0.97}$ kpc | 联合 AMS-02 + $^{10}{\rm Be}$ |	R2 核素/希腊字母/单位
34	- ¹⁰Be 交叉截面不确定性是主要系统误差	- $^{10}{\rm Be}$ 交叉截面不确定性是主要系统误差	R2 核素/希腊字母/单位
40	2. **¹⁰Be 时钟**：用放射性同位素衰变打破 $K_0/L$ 简并	2. **$^{10}{\rm Be}$ 时钟**：用放射性同位素衰变打破 $K_0/L$ 简并	R2 核素/希腊字母/单位
60	| ¹⁰Be 半衰期 | 1.387 Myr | CR 时钟 |	| $^{10}{\rm Be}$ 半衰期 | 1.387 Myr | CR 时钟 |	R2 核素/希腊字母/单位
66	| ¹⁰Be/⁹Be 最优能量 | $< 10$ GeV/n | |	| $^{10}{\rm Be}$/$^{9}{\rm Be}$ 最优能量 | $< 10$ GeV/n | |	R2 核素/希腊字母/单位
26	| radioactive isotope | 放射性同位素 | 半衰期 $< 10^7$ yr 的不稳定核素（如 ¹⁰Be）| §3 |	| radioactive isotope | 放射性同位素 | 半衰期 $< 10^7$ yr 的不稳定核素（如 $^{10}{\rm Be}$）| §3 |	R2 核素/希腊字母/单位
27	| Boron-10 (¹⁰Be) | 硼-10 | 半衰期 1.387 Myr 的放射性同位素——CR 时钟的标准 | §3 |	| Boron-10 ($^{10}{\rm Be}$) | 硼-10 | 半衰期 1.387 Myr 的放射性同位素——CR 时钟的标准 | §3 |	R2 核素/希腊字母/单位
29	| Be/B ratio | 铍/硼比率 | ¹⁰Be 衰变贡献的二级比率——对 $L$ 敏感 | §3 |	| Be/B ratio | 铍/硼比率 | $^{10}{\rm Be}$ 衰变贡献的二级比率——对 $L$ 敏感 | §3 |	R2 核素/希腊字母/单位
30	| ¹⁰Be/⁹Be ratio | 硼-10/硼-9 比率 | 直接测量 ¹⁰Be 丰度的同位素比率 | §3 |	| $^{10}{\rm Be}$/$^{9}{\rm Be}$ ratio | 硼-10/硼-9 比率 | 直接测量 $^{10}{\rm Be}$ 丰度的同位素比率 | §3 |	R2 核素/希腊字母/单位
31	| ¹⁰Be/Be ratio | 硼-10/硼比率 | 直接测量 ¹⁰Be 丰度的同位素比率 | §3 |	| $^{10}{\rm Be}$/Be ratio | 硼-10/硼比率 | 直接测量 $^{10}{\rm Be}$ 丰度的同位素比率 | §3 |	R2 核素/希腊字母/单位
49	### C1. §1（¹⁰Be 时钟的核心句）	### C1. §1（$^{10}{\rm Be}$ 时钟的核心句）	R2 核素/希腊字母/单位
56	**逻辑功能**：本文方法论的核心洞察——用 ¹⁰Be 衰变打破 $K_0/L$ 简并。	**逻辑功能**：本文方法论的核心洞察——用 $^{10}{\rm Be}$ 衰变打破 $K_0/L$ 简并。	R2 核素/希腊字母/单位
